id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,google_product_category,sale_price,additional_image_link,size,color,gender,material,header_image_link
ACO_AMAP101AB-2,Amana - Portable Air Conditioner with Remote Control in White/Black for Rooms up to 350-Sq. Ft.,Amana - Portable Air Conditioner with Remote Control in White/Black for Rooms up to 350-Sq. Ft.,in stock,new,569.99 USD,https://store.flexshopper.com/amana-portable-air-conditioner-with-remote-control-in-whiteblack-for-rooms-up-to-350-sq-ft-acoamap101ab-2,http://localhost:3000/resized/ACO_AMAP101AB-2.jpg,Flexshopper,10000,42,16.99 USD,https://store.flexshopper.com/media/catalog/product/3/3/33d2a7abc641fc8bcf7e5757a243b116.jpg,,,,24eec3015c08bc3f1925155e3cacdc28,https://store.flexshopper.com/media/catalog/product/3/3/33d2a7abc641fc8bcf7e5757a243b116.jpg
ACO_AMAP101AW-2,Amana - Portable Air Conditioner with Remote Control in Silver/Gray for Rooms up to 350-Sq. Ft.,Amana - Portable Air Conditioner with Remote Control in Silver/Gray for Rooms up to 350-Sq. Ft.,in stock,new,569.99 USD,https://store.flexshopper.com/amana-portable-air-conditioner-with-remote-control-in-silvergray-for-rooms-up-to-350-sq-ft-acoamap101aw-2,http://localhost:3000/resized/ACO_AMAP101AW-2.jpg,Flexshopper,10000,42,16.99 USD,https://store.flexshopper.com/media/catalog/product/e/3/e36dbb2b878c5895c702739c5d1cd27e.jpg,,,,878b9e7374d74745fa9bbf4f1669393b,https://store.flexshopper.com/media/catalog/product/e/3/e36dbb2b878c5895c702739c5d1cd27e.jpg
ACO_AMAP121AB-2,Amana - Portable Air Conditioner with Remote Control in White/Black for Rooms up to 450-Sq. Ft.,Amana - Portable Air Conditioner with Remote Control in White/Black for Rooms up to 450-Sq. Ft.,in stock,new,599.99 USD,https://store.flexshopper.com/amana-portable-air-conditioner-with-remote-control-in-whiteblack-for-rooms-up-to-450-sq-ft-acoamap121ab-2,http://localhost:3000/resized/ACO_AMAP121AB-2.jpg,Flexshopper,10000,42,17.88 USD,https://store.flexshopper.com/media/catalog/product/f/4/f4a2fa14d9aeb2fbe48f5ddb4c0edf7c.jpg,,,,dcb30e4f7f000bd7885d229ce7509eb3,https://store.flexshopper.com/media/catalog/product/f/4/f4a2fa14d9aeb2fbe48f5ddb4c0edf7c.jpg
ACO_AMAP242CW,Amana - 24 000 BTU 230V Window-Mounted Air Conditioner with Remote Control,Amana - 24 000 BTU 230V Window-Mounted Air Conditioner with Remote Control,in stock,new,759.99 USD,https://store.flexshopper.com/amana-24000-btu-230v-window-mounted-air-conditioner-with-remote-control-acoamap242cw,http://localhost:3000/resized/ACO_AMAP242CW.jpg,Flexshopper,10000,42,22.65 USD,https://store.flexshopper.com/media/catalog/product/7/9/7934dfab65a3516aabab0432fce15ad4.jpg,,,,1f0b02fc675b007758f0db636c10d7c1,https://store.flexshopper.com/media/catalog/product/7/9/7934dfab65a3516aabab0432fce15ad4.jpg
ACO_AXRGALA01,LG - Stamped Aluminum Rear Grille for 26-inch Wall Sleeve,LG - Stamped Aluminum Rear Grille for 26-inch Wall Sleeve,in stock,new,79.0 USD,https://store.flexshopper.com/lg-stamped-aluminum-rear-grille-for-26-inch-wall-sleeve-acoaxrgala01,http://localhost:3000/resized/ACO_AXRGALA01.jpg,Flexshopper,10000,42,2.35 USD,https://store.flexshopper.com/media/catalog/product/4/0/40fc9c4e5b69cf6e68978178a6145ce0.jpg,,,,c38a69c52a1ce699e36d768cccad626a,https://store.flexshopper.com/media/catalog/product/4/0/40fc9c4e5b69cf6e68978178a6145ce0.jpg
ACO_BD001-BL,LifeSmart 4 Post Fast Airflow Boot Dryer with Deoderizer,LifeSmart 4 Post Fast Airflow Boot Dryer with Deoderizer,in stock,new,79.99 USD,https://store.flexshopper.com/lifesmart-4-post-fast-airflow-boot-dryer-with-deoderizer-acobd001-bl,http://localhost:3000/resized/ACO_BD001-BL.jpg,Flexshopper,10000,42,2.38 USD,https://store.flexshopper.com/media/catalog/product/b/d/bd001bl_1.jpg,,,,260e6ab3da2b34cfc50ec633b447fc44,https://store.flexshopper.com/media/catalog/product/b/d/bd001bl_1.jpg
ACO_CAM25INS-1BLK,25-In. Freestanding 5116 BTU Electric Fireplace Insert with Remote Control,25-In. Freestanding 5116 BTU Electric Fireplace Insert with Remote Control,in stock,new,369.99 USD,https://store.flexshopper.com/25-in-freestanding-5116-btu-electric-fireplace-insert-with-remote-control-acocam25ins-1blk,http://localhost:3000/resized/ACO_CAM25INS-1BLK.jpg,Flexshopper,10000,42,11.03 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam25ins1blk_1.jpg,,,,5623ffdb26b560f0a628c844cee2eb46,https://store.flexshopper.com/media/catalog/product/c/a/cam25ins1blk_1.jpg
ACO_CAM3437-1WHTLG3,Sienna 34-In. Electric Fireplace Heater with White Mantel  Enhanced Log Display  Multi-Color Flames  and Remote Control,Sienna 34-In. Electric Fireplace Heater with White Mantel  Enhanced Log Display  Multi-Color Flames  and Remote Control,in stock,new,729.99 USD,https://store.flexshopper.com/sienna-34-in-electric-fireplace-heater-with-white-mantel-enhanced-log-display-multi-color-flames-and-remote-control-acocam3437-1whtlg3,http://localhost:3000/resized/ACO_CAM3437-1WHTLG3.jpg,Flexshopper,10000,42,14.01 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam34371whtlg3_ei2.jpg,,,,11a752befceae736983f96e43894f268,https://store.flexshopper.com/media/catalog/product/c/a/cam34371whtlg3_ei2.jpg
ACO_CAM42RECWMEF-2WHT,42-In. Recessed Wall Mounted Electric Fireplace with Logs and LED Color Changing Display  White,42-In. Recessed Wall Mounted Electric Fireplace with Logs and LED Color Changing Display  White,in stock,new,619.99 USD,https://store.flexshopper.com/42-in-recessed-wall-mounted-electric-fireplace-with-logs-and-led-color-changing-display-white-acocam42recwmef-2wht,http://localhost:3000/resized/ACO_CAM42RECWMEF-2WHT.jpg,Flexshopper,10000,42,11.33 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam42recwmef2wht_1.jpg,,,,ba555ed0bd70f08c97c7ecb1c05a6b47,https://store.flexshopper.com/media/catalog/product/c/a/cam42recwmef2wht_1.jpg
ACO_CAM42WMEF-1BLK,42-In. Wall-Mount Electric Fireplace in Black with Multi-Color Flames and Crystal Rock Display,42-In. Wall-Mount Electric Fireplace in Black with Multi-Color Flames and Crystal Rock Display,in stock,new,629.99 USD,https://store.flexshopper.com/42-in-wall-mount-electric-fireplace-in-black-with-multi-color-flames-and-crystal-rock-display-acocam42wmef-1blk,http://localhost:3000/resized/ACO_CAM42WMEF-1BLK.jpg,Flexshopper,10000,42,11.03 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam42wmef1blk_6.jpg,,,,4e8348d5f919bb658497abc7d12d4374,https://store.flexshopper.com/media/catalog/product/c/a/cam42wmef1blk_6.jpg
ACO_CAM42WMEF-2BLK,42-In. Wall-Mount Electric Fireplace in Black with Multi-Color Flames and Driftwood Log Display,42-In. Wall-Mount Electric Fireplace in Black with Multi-Color Flames and Driftwood Log Display,in stock,new,629.99 USD,https://store.flexshopper.com/42-in-wall-mount-electric-fireplace-in-black-with-multi-color-flames-and-driftwood-log-display-acocam42wmef-2blk,http://localhost:3000/resized/ACO_CAM42WMEF-2BLK.jpg,Flexshopper,10000,42,11.03 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam42wmef2blk-alt3.jpg,,,,282b84e0f50529b2d420b1c501655e62,https://store.flexshopper.com/media/catalog/product/c/a/cam42wmef2blk-alt3.jpg
ACO_CAM5021-1WHTLG3,Seville Electric Fireplace Heater with 47-In. White TV Stand  Enhanced Log Display  Multi-Color Flames  and Remote Control,Seville Electric Fireplace Heater with 47-In. White TV Stand  Enhanced Log Display  Multi-Color Flames  and Remote Control,in stock,new,899.99 USD,https://store.flexshopper.com/seville-electric-fireplace-heater-with-47-in-white-tv-stand-enhanced-log-display-multi-color-flames-and-remote-control-acocam5021-1whtlg3,http://localhost:3000/resized/ACO_CAM5021-1WHTLG3.jpg,Flexshopper,10000,42,26.83 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam50211whtlg3-alt1.jpg,,,,d6f588c692c9c81446c1788f96c7c8a9,https://store.flexshopper.com/media/catalog/product/c/a/cam50211whtlg3-alt1.jpg
ACO_CAM50RECWMEF-1BLK,50-In. Recessed Wall Mounted Electric Fireplace with Crystal and LED Color Changing Display  Black,50-In. Recessed Wall Mounted Electric Fireplace with Crystal and LED Color Changing Display  Black,in stock,new,699.99 USD,https://store.flexshopper.com/50-in-recessed-wall-mounted-electric-fireplace-with-crystal-and-led-color-changing-display-black-acocam50recwmef-1blk,http://localhost:3000/resized/ACO_CAM50RECWMEF-1BLK.jpg,Flexshopper,10000,42,9.84 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam50recwmef1blk_1.jpg,,,,0f8e54a7e6550733d972a763c152f30b,https://store.flexshopper.com/media/catalog/product/c/a/cam50recwmef1blk_1.jpg
ACO_CAM50RECWMEF-1WHT,50-In. Recessed Wall Mounted Electric Fireplace with Crystal and LED Color Changing Display  White,50-In. Recessed Wall Mounted Electric Fireplace with Crystal and LED Color Changing Display  White,in stock,new,699.99 USD,https://store.flexshopper.com/50-in-recessed-wall-mounted-electric-fireplace-with-crystal-and-led-color-changing-display-white-acocam50recwmef-1wht,http://localhost:3000/resized/ACO_CAM50RECWMEF-1WHT.jpg,Flexshopper,10000,42,9.24 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam50recwmef1wht_ei1.jpg,,,,8b5f48810fdb9ea448550ec3424f3d65,https://store.flexshopper.com/media/catalog/product/c/a/cam50recwmef1wht_ei1.jpg
ACO_CAM50RECWMEF-2WHT,50-In. Recessed Wall Mounted Electric Fireplace with Logs and LED Color Changing Display  White,50-In. Recessed Wall Mounted Electric Fireplace with Logs and LED Color Changing Display  White,in stock,new,699.99 USD,https://store.flexshopper.com/50-in-recessed-wall-mounted-electric-fireplace-with-logs-and-led-color-changing-display-white-acocam50recwmef-2wht,http://localhost:3000/resized/ACO_CAM50RECWMEF-2WHT.jpg,Flexshopper,10000,42,9.24 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam50recwmef2wht_1.jpg,,,,803f0b9c012f09caef742dee386598dd,https://store.flexshopper.com/media/catalog/product/c/a/cam50recwmef2wht_1.jpg
ACO_CAM5332-1WHTLG3,53-In. Sawyer Industrial Electric Fireplace Mantel with Enhanced Log Display and Color Changing Flames  White and Black,53-In. Sawyer Industrial Electric Fireplace Mantel with Enhanced Log Display and Color Changing Flames  White and Black,in stock,new,869.99 USD,https://store.flexshopper.com/53-in-sawyer-industrial-electric-fireplace-mantel-with-enhanced-log-display-and-color-changing-flames-white-and-black-acocam5332-1whtlg3,http://localhost:3000/resized/ACO_CAM5332-1WHTLG3.jpg,Flexshopper,10000,42,15.5 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam53321whtlg3_1.jpg,,,,eae6849e895364f0db288a64133fe9f3,https://store.flexshopper.com/media/catalog/product/c/a/cam53321whtlg3_1.jpg
ACO_CAM5332-1WWCRS,32-In. Sawyer Industrial Electric Fireplace Mantel with Deep Crystal Display and Color Changing Flames  White,32-In. Sawyer Industrial Electric Fireplace Mantel with Deep Crystal Display and Color Changing Flames  White,in stock,new,869.99 USD,https://store.flexshopper.com/32-in-sawyer-industrial-electric-fireplace-mantel-with-deep-crystal-display-and-color-changing-flames-white-acocam5332-1wwcrs,http://localhost:3000/resized/ACO_CAM5332-1WWCRS.jpg,Flexshopper,10000,42,15.5 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam53321wwcrs_4.jpg,,,,bfdfefd968d33b8bc3df4d7d3ca46d51,https://store.flexshopper.com/media/catalog/product/c/a/cam53321wwcrs_4.jpg
ACO_CAM56WMEF-2BLK,Metropolitan 56-In. Wall-Mount Electric Fireplace in Black with Lava Rock Display,Metropolitan 56-In. Wall-Mount Electric Fireplace in Black with Lava Rock Display,in stock,new,699.99 USD,https://store.flexshopper.com/metropolitan-56-in-wall-mount-electric-fireplace-in-black-with-lava-rock-display-acocam56wmef-2blk,http://localhost:3000/resized/ACO_CAM56WMEF-2BLK.jpg,Flexshopper,10000,42,9.84 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam56wmef2blk_ei2.jpg,,,,f1754f977e091928341026b8e312f104,https://store.flexshopper.com/media/catalog/product/c/a/cam56wmef2blk_ei2.jpg
ACO_CAM60RECWMEF-1BLK,60-In. Recessed Wall Mounted Electric Fireplace with Crystal and LED Color Changing Display  Black,60-In. Recessed Wall Mounted Electric Fireplace with Crystal and LED Color Changing Display  Black,in stock,new,949.99 USD,https://store.flexshopper.com/60-in-recessed-wall-mounted-electric-fireplace-with-crystal-and-led-color-changing-display-black-acocam60recwmef-1blk,http://localhost:3000/resized/ACO_CAM60RECWMEF-1BLK.jpg,Flexshopper,10000,42,17.59 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam60recwmef1blk_1.jpg,,,,e86ab431d179dd4530e339c949d39a74,https://store.flexshopper.com/media/catalog/product/c/a/cam60recwmef1blk_1.jpg
ACO_CAM60RECWMEF-1WHT,60-In. Recessed Wall Mounted Electric Fireplace with Crystal and LED Color Changing Display  White,60-In. Recessed Wall Mounted Electric Fireplace with Crystal and LED Color Changing Display  White,in stock,new,849.99 USD,https://store.flexshopper.com/60-in-recessed-wall-mounted-electric-fireplace-with-crystal-and-led-color-changing-display-white-acocam60recwmef-1wht,http://localhost:3000/resized/ACO_CAM60RECWMEF-1WHT.jpg,Flexshopper,10000,42,25.34 USD,https://store.flexshopper.com/media/catalog/product/c/a/cam60recwmef1wht_1.jpg,,,,3f32e3a655e59b6096cda196e6c4e462,https://store.flexshopper.com/media/catalog/product/c/a/cam60recwmef1wht_1.jpg
